Input File,Tree Location,Job Name,Job Type,Component Type Name,Component Name,Interpreter,component_exists
INGESTION_FRAMEWORK.json,/ROOT/INGESTION_FRAMEWORK/Orchestration/Sources,BP_SCHEDULER,ORCHESTRATION,Run Orchestration,BILLING_PLATFORM_MASTER,,1
INGESTION_FRAMEWORK.json,/ROOT/INGESTION_FRAMEWORK/Orchestration/Sources,BP_SCHEDULER,ORCHESTRATION,Start,Start 0,,1
INGESTION_FRAMEWORK.json,/ROOT/INGESTION_FRAMEWORK/Orchestration/Sources,ADLUMIN_USAGE_MASTER,ORCHESTRATION,Unknown:-842023425,LOG_MASTER_FAILURE,,1
INGESTION_FRAMEWORK.json,/ROOT/INGESTION_FRAMEWORK/Orchestration/Sources,ADLUMIN_USAGE_MASTER,ORCHESTRATION,Or,Or Failure,,1
INGESTION_FRAMEWORK.json,/ROOT/INGESTION_FRAMEWORK/Orchestration/Sources,ADLUMIN_USAGE_MASTER,ORCHESTRATION,Unknown:-842023425,LOG_MAIN,,1
INGESTION_FRAMEWORK.json,/ROOT/INGESTION_FRAMEWORK/Orchestration/Sources,ADLUMIN_USAGE_MASTER,ORCHESTRATION,Query Result to Scalar,Query Result To Scalar,,1
INGESTION_FRAMEWORK.json,/ROOT/INGESTION_FRAMEWORK/Orchestration/Sources,ADLUMIN_USAGE_MASTER,ORCHESTRATION,If,Is_Send_Notification,,1
INGESTION_FRAMEWORK.json,/ROOT/INGESTION_FRAMEWORK/Orchestration/Sources,ADLUMIN_USAGE_MASTER,ORCHESTRATION,Unknown:1348418649,sns_notification,,1
INGESTION_FRAMEWORK.json,/ROOT/INGESTION_FRAMEWORK/Orchestration/Sources,ADLUMIN_USAGE_MASTER,ORCHESTRATION,End Failure,FAILURE,,1
INGESTION_FRAMEWORK.json,/ROOT/INGESTION_FRAMEWORK/Orchestration/Sources,ADLUMIN_USAGE_MASTER,ORCHESTRATION,Python Script,ADLUMIN_USAGE_MAIN,Python 3.8,1
INGESTION_FRAMEWORK.json,/ROOT/INGESTION_FRAMEWORK/Orchestration/Sources,ADLUMIN_USAGE_MASTER,ORCHESTRATION,Run Orchestration,Run INGESTION FRAMEWORK,,1
INGESTION_FRAMEWORK.json,/ROOT/INGESTION_FRAMEWORK/Orchestration/Sources,ADLUMIN_USAGE_MASTER,ORCHESTRATION,Start,Start,,1
INGESTION_FRAMEWORK.json,/ROOT/INGESTION_FRAMEWORK/Orchestration/Sources,BATS_SQL_SERVER_MASTER,ORCHESTRATION,Start,Start,,1
INGESTION_FRAMEWORK.json,/ROOT/INGESTION_FRAMEWORK/Orchestration/Sources,BATS_SQL_SERVER_MASTER,ORCHESTRATION,Run Orchestration,Run INGESTION FRAMEWORK,,1
INGESTION_FRAMEWORK.json,/ROOT/INGESTION_FRAMEWORK/Orchestration/Sources,BATS_SQL_SERVER_MASTER,ORCHESTRATION,Query Result to Scalar,Query Result To Scalar,,1
INGESTION_FRAMEWORK.json,/ROOT/INGESTION_FRAMEWORK/Orchestration/Sources,NS2_MASTER,ORCHESTRATION,Query Result to Scalar,Query Result To Scalar,,1
